,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
287,guerrero negro,mx,12.703093920339427,-129.96537214208655,70.27,38,0,8.63
289,saldanha,za,-33.26423090446698,14.429450745132897,62.6,82,48,5.82
290,saint george,bm,28.819322667848027,-52.510118089128795,64.35,72,75,9.17
291,kresttsy,ru,58.51491350041468,32.83983233811847,33.89,91,92,10.85
292,annau,tm,38.47573882004775,59.28496189828422,46.4,87,0,6.93
295,peraiyur,in,9.775355727171927,77.76114160945014,77,83,20,6.04
299,port-gentil,ga,-2.5154475471341584,5.449950973841965,80.17,100,80,5.84
303,talavera de la reina,es,39.633148601801764,-4.633262991941933,38.64,80,0,2.93
304,elizabethton,us,36.09707741886464,-82.13389142915236,37.04,64,1,4.14
305,kodiak,us,45.17456470425492,-159.19356729787242,46.06,28,1,9.17
308,ancud,cl,-41.63741962551556,-73.74891853867605,53.6,87,32,2.24
311,san patricio,mx,6.8276526832205064,-112.24891969693867,82.4,65,75,3.24
312,miandrivazo,mg,-17.58661128349162,43.548735109527,71.64,98,56,3.36
315,tura,ru,64.19427109612118,99.10206560655911,14.76,63,56,4.14
316,richards bay,za,-33.850050279648784,37.16112278621341,71.96,87,56,8.16
317,comodoro rivadavia,ar,-49.89930613841448,-64.3187901926301,71.6,53,0,8.05
318,buraydah,sa,23.14346002581506,43.07196113691168,57.2,50,40,20.8
323,aklavik,ca,77.63071000730156,-142.3309843597486,24.8,53,75,8.05
324,sinjar,iq,36.36674908263802,42.1001807600141,44.01,99,88,4.81
326,greytown,za,-28.919934964958138,30.78912984097971,59.54,95,32,2.13
329,saskylakh,ru,78.82867586804653,114.68813878463817,-6.28,86,68,6.62
330,mongoumba,cf,3.042442790535759,18.197014516941067,75.42,86,12,3.8
338,dikson,ru,76.03464269941261,81.4544561391478,8.58,94,68,24.18
340,khash,ir,27.7318863799984,62.33516906324451,39.83,80,0,2.57
341,semey,kz,50.027101183735255,79.80762027489999,14,92,0,6.71
346,kaitangata,nz,-69.54716755014746,174.9169595637424,61,77,0,8.01
347,labuhan,id,-19.86344769785231,94.94018719499599,79.2,83,32,3.13
348,nizhniy odes,ru,64.5018149066153,54.94319476062785,17.01,84,68,4.92
349,dunedin,nz,-53.283772735215564,179.02731434551993,62.01,77,12,8.01
351,neiafu,to,-19.210412882903412,-172.33021421387622,86,74,75,4.7
353,nynashamn,se,58.85770855055688,17.89137910820864,34.3,92,92,8.05
355,faanui,pf,-9.94362602647277,-155.24055231157882,84,100,68,10.76
356,torrington,us,43.25090685884004,-104.09829506627617,35.01,55,1,3.36
360,henties bay,na,-24.207975615319384,4.839841806620171,62.01,93,88,3
361,port hedland,au,-26.020571362133822,120.41509076320449,89.6,70,40,12.75
367,kalmunai,lk,7.419073474347272,87.36929679921917,81.14,85,44,4.59
369,clyde river,ca,68.4703906460528,-78.89331215333944,-25.61,74,40,12.75
371,salalah,om,18.4813679478998,54.38465933588273,77,73,40,2.24
372,pevek,ru,72.39859428755429,171.75883118555572,-15.23,90,0,13.78
373,moose factory,ca,50.847688768107304,-80.632169729044,12.2,72,90,11.41
374,ostrovnoy,ru,67.33531776910132,38.333197145195925,25.86,86,8,13
375,fare,pf,-8.568021616749363,-148.5738978765919,84.36,98,20,11.65
376,honiara,sb,-14.953149525240605,156.12593747196092,84.42,83,48,2.68
380,ambalavao,mg,-21.939310767984168,46.88357456920713,59.76,93,68,2.35
381,dubti,et,12.472548444288634,41.48500148244912,69.08,92,0,4.36
382,alibag,in,18.10778790662026,70.99266159746296,72.48,64,0,6.93
385,palmer,us,60.85157973293602,-147.67615036520743,39.25,75,90,19.46
387,loreto,mx,25.494880679733967,-110.47158464547066,63.14,34,92,5.59
390,casablanca,ma,33.91072174615171,-7.31434551517907,57.56,82,0,3.36
395,hambantota,lk,2.06255810384134,85.2848146456837,77,100,40,3.36
405,howard springs,au,-13.473092858684723,131.20819797044908,90.32,66,40,12.75
407,coquimbo,cl,-27.99050998615764,-79.56735795225127,59,82,90,4.7
409,batemans bay,au,-39.8139336217013,154.8219731247018,66.43,74,92,5.99
411,kefar tavor,il,32.59761739526502,35.46596413031466,56.08,83,92,3.69
413,hailar,cn,47.97695831303952,120.11380860710244,44.64,31,0,13.53
415,carnarvon,au,-28.19763304062281,103.48045229899645,78.8,69,0,16.11
420,espinosa,br,-14.688726065081724,-43.160436030611635,67.41,81,0,5.82
425,birao,cf,11.720788631038658,23.128871713457016,71.55,16,12,12.75
426,beyla,gn,9.071945042616292,-8.259053707040692,77,73,12,6.49
427,ponta delgada,pt,30.754155373741355,-26.999224624898176,57.69,87,40,10.29
428,canto do buriti,br,-8.69323927385173,-43.371670744644035,74.91,90,12,3.15
429,pinheiro machado,br,-31.252827898035306,-53.64293141274044,71.19,75,80,13.42
431,panaba,mx,23.77520358686749,-88.01995961037201,83.25,48,76,8.05
433,iqaluit,ca,62.3963732065078,-74.81612775779443,3.09,54,75,21.92
435,bayangol,ru,51.07459460281967,103.66808593882814,35.78,50,8,3.58
436,khatanga,ru,73.78745080905486,98.68427163337549,-10.87,73,64,1.14
437,mnogovershinnyy,ru,56.11056164760845,141.02985136343761,29.97,64,24,1.9
438,balurghat,in,25.162313650994946,88.80712301061442,77.54,52,20,5.59
439,namie,jp,36.722552812288214,143.49904190518419,45.27,33,75,2.24
441,mandera,ke,3.880681648064396,42.42274335585125,70,14,0,3
442,cochrane,ca,49.512798837826864,-81.03503663083747,34.36,59,20,5.82
443,nome,us,61.225173778992854,-168.65483682581274,55.44,50,90,2.93
445,canandaigua,us,42.50158987717697,-77.29720873168601,29.37,56,90,5.82
447,muyezerskiy,ru,64.44779441077242,31.839121347913988,30.29,85,92,6.82
454,lebu,cl,-35.71297620718743,-81.51199889540901,57.18,90,0,13.67
455,sinnamary,gf,10.427895632387717,-50.03443950170137,78.42,100,68,10.76
456,auki,sb,-6.730102633991493,162.20326187889412,85.46,93,20,7.61
461,miraflores,co,1.0116065515031352,-71.79427611193955,51.66,98,68,1.12
464,buchanan,lr,2.210333227781561,-12.567399019477165,78.8,94,40,2.13
465,murgab,tm,37.01597232541701,62.20428871574828,50,87,0,6.93
469,betare oya,cm,5.553594351502426,13.825905919921922,68.36,90,0,3.13
470,roma,au,-27.865888402401296,149.56638892323582,76.32,65,44,5.37
475,vallenar,cl,-27.412645841210036,-73.19942724658488,60.46,85,0,1.7
479,ahipara,nz,-32.56062448831938,170.69376856919195,77.18,64,68,5.93
481,alofi,nu,-27.938065477296377,-166.86101465832655,84.2,74,100,10.29
482,pathein,mm,17.290596562858212,94.62059014384715,86.13,66,0,8.39
484,port elizabeth,za,-53.51749556863497,29.188453368821683,66.2,100,90,8.05
487,sitka,us,53.22055606455794,-139.81149467781668,55,27,0,6.15
496,can tho,vn,9.972654717269862,105.96501702614347,82.4,83,40,4.7
498,castro,cl,-53.98805309608414,-100.81669928478715,53.6,87,32,2.24
502,biak,id,2.149021304166425,137.44301079027707,87.53,73,24,2.68
505,cercal,pt,37.750362372831944,-8.642205441669574,48.99,92,0,7
506,homer,us,60.365795712121866,-153.1020853255422,41.11,81,90,11.41
509,diamantino,br,-13.667913484559222,-56.35366617544429,77.67,85,44,2.91
513,uige,ao,-8.013456210285085,14.35690691729539,69.03,97,92,2.57
518,upernavik,gl,79.0931188852422,-53.46668240957672,-11.99,100,20,13.22
519,madimba,tz,-8.632019541967637,42.53052363188857,77.54,100,0,4.59
524,afyonkarahisar,tr,38.912876004060536,30.51374016447545,32,93,36,5.99
525,waingapu,id,-11.293794186587476,118.14304507556477,81.14,88,76,6.15
529,soimi,ro,46.695246951422035,22.16956181835556,44.85,81,88,5.82
530,jumla,np,33.86329207623602,83.10679053935183,30.74,74,80,2.13
535,raudeberg,no,64.8465404375055,1.8575398786100834,37.67,69,44,8.05
540,alta floresta,br,-10.822265622607858,-58.14401084569863,75.74,94,0,2.01
541,cam ranh,vn,11.000689535576058,113.40228992213588,84.2,70,40,10.29
545,uk,ru,53.89433325065437,97.42889194193913,33.71,77,0,6.71
551,juneau,us,59.8716607507115,-132.5452061175775,45.61,93,90,18.34
552,corinto,ni,11.84393608294127,-88.13601991027309,85.05,48,0,13.76
553,longyearbyen,sj,79.65054672323728,21.022700999080257,-2.21,53,20,10.29
556,mitu,co,0.36969738759533755,-70.60065295716699,73.31,94,56,2.01
558,cockburn town,tc,22.663521476813955,-67.96398909500617,77.25,100,32,16.91
559,sur,om,14.208776205009542,63.69008712499735,69.01,100,12,8.75
566,portland,au,-44.863326695572255,137.48704923628713,60.19,99,76,1.99
569,shizunai,jp,41.5401539054711,143.53746234747769,35.06,85,56,8.72
571,montes altos,br,-5.825887799983917,-47.110340347550135,72.63,95,76,7.49
575,leningradskiy,ru,78.82166225137186,176.61104838168865,-5.96,85,56,20.71
580,hami,cn,36.996798288570744,90.68096100868087,51.08,43,0,7.94
581,tiarei,pf,-11.69221742366102,-146.1712513811912,84.09,74,40,5.82
582,camrose,ca,53.05665154215873,-112.96452816714643,36.41,50,75,3.36
586,chimoio,mz,-19.013640174274755,34.14823113161597,68.13,98,92,3.69
587,muros,es,41.658693288174106,-15.024041176280974,50.54,87,90,10.29
588,hengshan,cn,45.099690630298255,130.79109308451217,73.98,79,80,12.08
589,shache,cn,37.2037627300776,80.44919314678401,42.01,47,20,5.5
593,bontang,id,1.1345017961045443,118.5948009005711,84.6,85,0,8.16
597,dobrun,ru,53.14002324085175,34.2502412667325,33.93,95,88,4.47
598,basay,ph,9.123353555321131,122.4705063757113,79.88,91,0,6.93
600,geraldton,au,-29.162705204056806,108.64074955912395,73.4,73,90,6.93
605,kamaishi,jp,38.48647286351999,143.36449487639152,41,44,75,10.29
607,kutum,sd,15.420896771700797,23.3785577000381,56.03,19,0,11.41
608,zhob,pk,31.681299892901208,69.15299459766817,37.08,78,0,2.35
610,guaraniacu,br,-24.517042163957953,-52.564836755240336,68.81,88,24,4.59
611,kyzyl-suu,kg,40.779820373926924,77.45310631130332,27,69,0,4
612,torbay,ca,39.62605851626179,-43.54256589036632,44.17,93,90,27.51
615,tual,id,-7.509773466391394,133.3162917471932,83.82,98,48,10.65
618,black river,jm,17.876277587674565,-77.83253408198973,77.79,74,40,5.82
619,dumas,us,35.731604556448616,-101.71718281544412,48.92,42,1,8.05
620,riyadh,sa,21.928979748938943,45.794383613985815,71.6,24,75,9.17
621,newala,tz,-12.043669834537155,39.67699691199812,61.74,94,12,2.68
623,tautira,pf,-18.1801008546646,-143.37566973808825,84.09,74,40,5.82
629,stornoway,gb,58.71690296356138,-6.481288407336109,39.2,91,44,14.99
631,cockburn town,bs,27.61881361265077,-71.10338270797034,75.69,100,92,12.75
634,salinopolis,br,2.2754095824105036,-47.2059236439388,81.12,94,92,10.98
635,reitz,za,-27.98636033822209,28.584625018815586,53.73,88,56,5.93
640,camaqua,br,-31.085698958938792,-51.831539661456475,72.63,83,92,15.43
641,kununurra,au,-15.69570733139787,125.56326636666392,89.6,59,0,9.17
642,malangwa,np,26.895169097650538,85.5611961129024,75.38,20,56,3.91
646,singapore,sg,0.6171772477155741,103.94581537916673,81.77,70,75,10.29
647,kalemie,cd,-5.68006527613872,28.34647425497559,72.59,100,56,6.6
648,miles city,us,46.09713486272514,-105.97770937905173,33.4,55,1,5.82
